#,SVM,SVM,Natural Validation,ServRep Validation,,metatag,Client Script,DIT / Dialog Act,Organic Study Pose
410,negative,-0.92,negative,negative,,Apology,Sorry I don't understand.,,
418,negative,-0.64,negative,negative,,Apology,Sorry but I didn't understand that.,,
425,negative,-0.59,negative,negative,,Apology,I'm so sorry to hear that.,,
428,negative,-0.54,negative,negative,,Apology,still didn't quite get that.,,
429,negative,-0.54,negative,negative,,Apology,Sorry Shaun.,,
434,negative,-0.52,negative,negative,,Apology,I'm sorry I am expecting a yes or no response for this question.,,
441,negative,-0.45,negative,negative,,Apology,I am sorry.,,
447,negative,-0.4,negative,negative,,Apology,I'm sorry that my answer wasn't helpful but the language you're using isn't okay.,,
455,negative,-0.34,negative,negative,,Apology,I'm sorry if I haven't answered your question properly.,,
20,positive,0.75,neutral,positive,,Casual,Lovely Missiles ready to launch awaiting your launch codes.,,
40,positive,0.53,neutral,positive,,Casual,it's like the best game of hide and seek for someone like me.,,
42,positive,0.53,neutral,positive,,Casual,I dream of electric sheep.,,
45,positive,0.49,neutral,positive,,Casual,I hope you brought your sun screen.,,
64,positive,0.23,neutral,positive,,Casual,but he continues to play loud music.,,
65,positive,0.23,neutral,positive,,Casual,Sex is like air.,,
83,neutral,0.09,neutral,positive,,Casual,So brunettes can remember them.,,
172,neutral,0,neutral,positive,,Casual,at least it's a change of scene i suppose.,,
194,neutral,0,neutral,positive,,Casual,You are standing at the end of a road before a small brick building.,,
380,neutral,0,neutral,positive,,Casual,A Digital Human has his secrets.,,
381,neutral,0,neutral,positive,,Casual,A Digital Human has her secrets.,,
404,neutral,-0.01,neutral,positive,,Casual,Um.,,
439,negative,-0.46,neutral,positive,,Casual,Beware the dwarf with the very sharp axe he is very near.,,
472,negative,-0.24,neutral,positive,,Casual,Sin of Commission.,,
266,neutral,0,neutral,positive,,Farewell,Okay bye.,,
13,positive,0.84,positive,positive,,Gratitude,Thanks for visiting.,,
19,positive,0.75,positive,positive,,Gratitude,Thanks Melanie.,,
25,positive,0.7,positive,positive,,Gratitude,Thanks very much for your patience.,,
26,positive,0.7,positive,positive,,Gratitude,Thanks for chatting.,,
32,positive,0.6,positive,positive,,Gratitude,Thanks for talking to me.,,
41,positive,0.53,positive,positive,,Gratitude,Thank you for taking the time to talk with me.,,
46,positive,0.45,positive,positive,,Gratitude,Okay thanks for chatting.,,
22,positive,0.74,neutral,neutral/positive,,Info,YouTube has some great videos of puppies tripping on their own feet.,,
24,positive,0.7,neutral,neutral/positive,,Info,so that they can deliver the best supports possible.,,
31,positive,0.6,neutral,neutral/positive,,Info,as aged care is better suited to support you.,,
37,positive,0.55,neutral,neutral/positive,,Info,Observational Feedback and Skill Building.,,
44,positive,0.5,neutral,neutral/positive,,Info,and referred to our Resolutions team to review.,,
54,positive,0.34,neutral,neutral/positive,,Info,and it's reasonable and necessary.,,
55,positive,0.33,neutral,neutral/positive,,Info,Refunds for retail items generally take about TWO weeks.,,
66,positive,0.22,neutral,neutral/positive,,Info,We're all about agile in the Experience Centre.,,
68,positive,0.2,neutral,neutral/positive,,Info,Our Jumpstart account has special benefits.,,
71,positive,0.19,neutral,neutral/positive,,Info,OnlineCode is two factor authentication.,,
73,positive,0.18,neutral,neutral/positive,,Info,Mortgages.,,
75,positive,0.16,neutral,neutral/positive,,Info,PwC's purpose is to build trust in society and solve important problems.,,
